_id,forId,rendimiento,costo,emplatado,autor,revisor,nota1,nota2,nota3,nota4,nota5,nota6,nota7,nota8,nota9,nota10,actualizacion,proces1,proces2,proces3,proces4,proces5,proces6,proces7,proces8,proces9,proces10,proces11,proces12,proces13,proces14,proces15,proces16,proces17,proces18,proces19,proces20,item1_Id,item1_Cuantity_Units,item2_Id,item2_Cuantity_Units,item3_Id,item3_Cuantity_Units,item4_Id,item4_Cuantity_Units,item5_Id,item5_Cuantity_Units,item6_Id,item6_Cuantity_Units,item7_Id,item7_Cuantity_Units,item8_Id,item8_Cuantity_Units,item9_Id,item9_Cuantity_Units,item10_Id,item10_Cuantity_Units,item11_Id,item11_Cuantity_Units,item12_Id,item12_Cuantity_Units,item13_Id,item13_Cuantity_Units,item14_Id,item14_Cuantity_Units,item15_Id,item15_Cuantity_Units,item16_Id,item16_Cuantity_Units,item17_Id,item17_Cuantity_Units,item18_Id,item18_Cuantity_Units,item19_Id,item19_Cuantity_Units,item20_Id,item20_Cuantity_Units,item21_Id,item21_Cuantity_Units,item22_Id,item22_Cuantity_Units,item23_Id,item23_Cuantity_Units,item24_Id,item24_Cuantity_Units,item25_Id,item25_Cuantity_Units,item26_Id,item26_Cuantity_Units,item27_Id,item27_Cuantity_Units,item28_Id,item28_Cuantity_Units,item29_Id,item29_Cuantity_Units,item30_Id,item30_Cuantity_Units,producto_interno1_Id,producto_interno1_Cuantity_Units,producto_interno2_Id,producto_interno2_Cuantity_Units,producto_interno3_Id,producto_interno3_Cuantity_Units,producto_interno4_Id,producto_interno4_Cuantity_Units,producto_interno5_Id,producto_interno5_Cuantity_Units,producto_interno6_Id,producto_interno6_Cuantity_Units,producto_interno7_Id,producto_interno7_Cuantity_Units,producto_interno8_Id,producto_interno8_Cuantity_Units,producto_interno9_Id,producto_interno9_Cuantity_Units,producto_interno10_Id,producto_interno10_Cuantity_Units,producto_interno11_Id,producto_interno11_Cuantity_Units,producto_interno12_Id,producto_interno12_Cuantity_Units,producto_interno13_Id,producto_interno13_Cuantity_Units,producto_interno14_Id,producto_interno14_Cuantity_Units,producto_interno15_Id,producto_interno15_Cuantity_Units,producto_interno16_Id,producto_interno16_Cuantity_Units,producto_interno17_Id,producto_interno17_Cuantity_Units,producto_interno18_Id,producto_interno18_Cuantity_Units,producto_interno19_Id,producto_interno19_Cuantity_Units,producto_interno20_Id,producto_interno20_Cuantity_Units,legacyName,ProcessTime
0105e8db-ac17-44fe-b48c-65bb0db517af,27062f04-7583-49a5-8c12-dab8456e8e1c,"{""porcion"":1,""cantidad"":380,""unidades"":""ml""}",,Vaso de vidrio alto octogonal.,NaN,NaN,"Al agregar el jarabe, usar una cuchara para verterlo suavemente y generar un contraste de colores.",,,,,,,,,,2024-08-24,"Agregar panela, zumo de naranja, zumo de limón y agua caliente a la licuadora.",Licuar durante 3 minutos a velocidad baja.,Llenar el vaso con hielo hasta el tope.,Verter la mezcla y agregar 30 ml de jarabe de flor de Jamaica.,Decorar con flores de Jamaica y cítricos deshidratados.,,,,,,,,,,,,,,,,ba9fb4d5-99bf-4911-b9dc-ad7c7576c8f7,"{""metric"":{""cuantity"":30,""units"":""g""},""imperial"":{""cuantity"":null,""units"":null},""legacyName"":""Panela Pulverizada""}",,,,"{""metric"":{""cuantity"":10,""units"":""ml""},""imperial"":{""cuantity"":null,""units"":null},""legacyName"":""Jugo de Limon""}",,"{""metric"":{""cuantity"":20,""units"":""ml""},""imperial"":{""cuantity"":null,""units"":null},""legacyName"":""Jugo de naranja""}",503f05fa-fc9b-4618-9824-b0c4b7cf65ef,"{""metric"":{""cuantity"":180,""units"":""g""},""imperial"":{""cuantity"":null,""units"":null},""legacyName"":""Hielo""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05390836-060c-4570-a947-4b75e86d199d,"{""metric"":{""cuantity"":30,""units"":""ml""},""imperial"":{""cuantity"":null,""units"":null},""legacyName"":""JARABE FLOR DE JAMAICA""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guandolo flor de Jamaica,
0239cc5a-fe94-4cbb-a0cc-3897af0ef69a,6dc204f5-e399-4d54-9a1c-0d88a11c65b4,"{""porcion"":""1"",""cantidad"":""380"",""unidades"":""ml""}","{""vIB"":null,""pIB"":null,""vCMP"":513874,""pCMPInicial"":0.4,""pCMPReal"":0.37,""PPVii"":1387461,""costoTiempo"":null}",,Autor por defecto,Revisor por defecto,,,,,,,,,,,2025-01-20,,,,,,,,,,,,,,,,,,,,,,,d519abaa-ff80-407e-9a7c-56c2e6127016,"{""metric"":{""cuantity"":""200"",""units"":""ml""}}",503f05fa-fc9b-4618-9824-b0c4b7cf65ef,"{""metric"":{""cuantity"":""180"",""units"":""gr""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f6dc8ba-0218-4467-b5ac-7d921ad4bf71,"{""metric"":{""cuantity"":""10"",""units"":""ml""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soda naranja & panela,
05984570-9579-4a77-b031-8afceb180a1a,aff12c03-7c60-47dd-a9e4-65d125d79bc2,"{""porcion"":1,""cantidad"":""NaN"",""unidades"":""ml""}","{""vIB"":0,""pIB"":null,""vCMP"":0,""pCMPInicial"":0.5,""pCMPReal"":null,""PPVii"":0}",Vaso cristal grande doble pared.,NaN,NaN,La consistencia debe ser homogénea y sin trozos grandes de hielo.,,,,,,,,,,2025-01-16,Agregar 3 cubos de hielo de espresso en la licuadora junto con el espresso sencillo.,Licuar a velocidad baja hasta integrar los hielos y el espresso.,La bebida debe tener una consistencia homogénea y no debe tener tozos grandes de hielo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Espresso escarchado,
09d85a75-bf25-4c21-a556-9b392f433a7d,81c86670-2865-43d4-90d8-531dd07b656e,"{""porcion"":""1"",""cantidad"":""1"",""unidades"":""un""}","{""vIB"":5684,""pIB"":0.49,""vCMP"":2822,""pCMPInicial"":0.3,""pCMPReal"":0.28,""PPVii"":10158,""costoTiempo"":900}",,Autor por defecto,Revisor por defecto,,,,,,,,,,,2025-02-03,,,,,,,,,,,,,,,,,,,,,54521c02-198f-4521-a30c-19a179c02cf2,"{""metric"":{""cuantity"":""1"",""units"":""un""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pilsen, águila & poker",3
0cc41787-80d0-4610-b9fa-d5e1a06a029e,0f31bc29-2357-4251-9ca6-dcaf95f9ce4a,"{""porcion"":1,""cantidad"":""NaN"",""unidades"":""NaN""}",,Vaso de vidrio grande doble pared.,NaN,NaN,"Primero debe servirse el helado en el vaso, de manera que el espresso derrita el helado.","En caso de usar espuma de café o vino de café, el procedimiento es el mismo.",,,,,,,,,2024-08-24,Agregar 100 g de helado de vainilla al vaso.,Dejar un pequeño agujero en el centro del helado.,Extraer un espresso doble (PREPARACIÓN PREVIA).,"Verter el espresso doble, la espuma de café o el vino de café sobre el helado.",,,,,,,,,,,,,,,,,,,,,2814aebd-7069-4d7b-b1b1-dc8da5ca518f,"{""metric"":{""cuantity"":100,""units"":""g""},""imperial"":{""cuantity"":null,""units"":null},""legacyName"":""Helado""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6d6c6c29-2760-4c98-972a-97c1366ad280,"{""metric"":{""cuantity"":1,""units"":""cucharada generosa""},""imperial"":{""cuantity"":null,""units"":null},""legacyName"":""ESPUMA DE CAFE""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Affogatto con espuma de café,
10a387ce-3c39-4a98-8464-05ad9c06570b,,"{""porcion"":"""",""cantidad"":"""",""unidades"":""""}","{""vIB"":10458,""pIB"":0.53,""vCMP"":5631,""pCMPInicial"":0.35,""pCMPReal"":0.32,""PPVii"":17376}",,Autor por defecto,Revisor por defecto,,,,,,,,,,,2025-01-16,,,,,,,,,,,,,,,,,,,,,80881b71-9886-4c57-b136-f2e0ff70fcde,"{""metric"":{""cuantity"":""30"",""units"":""gr""}}",c68e02b0-6f86-409b-b92f-6b9389f98c79,"{""metric"":{""cuantity"":""30"",""units"":""gr""}}",a5690e68-dc0a-433e-b089-4b0528e02dcb,"{""metric"":{""cuantity"":""110"",""units"":""gr""}}",1c05cd48-f587-4f8b-9381-8b1383d1c2fd,"{""metric"":{""cuantity"":""70"",""units"":""gr""}}",ba61c4e0-54cb-4b6e-a892-ac964e518c80,"{""metric"":{""cuantity"":""20"",""units"":""ml""}}",287ed2a7-cd85-4b7d-a3a1-745d5da074aa,"{""metric"":{""cuantity"":""30"",""units"":""NaN""}}",10dae854-9027-4b52-8530-afe73d637480,"{""metric"":{""cuantity"":""60"",""units"":""gr""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Menu,
10f57fd8-6125-4747-a25d-15691ea22526,8d72a7a9-6d01-439f-8027-f56febb13834,"{""porcion"":"""",""cantidad"":"""",""unidades"":""""}","{""vIB"":0,""pIB"":null,""vCMP"":0,""pCMPInicial"":0.3,""pCMPReal"":null,""PPVii"":0,""costoTiempo"":0}",,Autor por defecto,Revisor por defecto,,,,,,,,,,,2025-01-24,,,,,,,,,,,,,,,,,,,,,d8e800e6-80b7-4924-bb66-139718f2d239,"{""metric"":{""cuantity"":""1"",""units"":""un""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pastel Borinqueso,
1309580c-bce2-434a-8e90-57bc2762c4ff,a25a7ed6-5fde-4c0d-907f-e9f777660f8b,"{""porcion"":1,""cantidad"":380,""unidades"":""ml""}","{""vIB"":3557,""pIB"":0.49,""vCMP"":2371,""pCMPInicial"":0.4,""pCMPReal"":0.37,""PPVii"":6403,""costoTiempo"":0}",Vaso de vidrio alto octogonal.,NaN,NaN,"Al agregar el jarabe, usar una cuchara para verterlo suavemente y generar un contraste de colores.",,,,,,,,,,2025-01-20,"Agregar panela, zumo de naranja, zumo de limón y agua caliente a la licuadora.",Licuar durante 3 minutos a velocidad baja.,Llenar el vaso con hielo hasta el tope.,Verter la mezcla y llenar con agua.,Decorar con flores de Jamaica y cítricos deshidratados.,,,,,,,,,,,,,,,,ba9fb4d5-99bf-4911-b9dc-ad7c7576c8f7,"{""metric"":{""cuantity"":30,""units"":""g""}}",,"{""metric"":{""cuantity"":10,""units"":""ml""}}",503f05fa-fc9b-4618-9824-b0c4b7cf65ef,"{""metric"":{""cuantity"":180,""units"":""g""}}",503f05fa-fc9b-4618-9824-b0c4b7cf65ef,"{""metric"":{""cuantity"":180,""units"":""g""}}",503f05fa-fc9b-4618-9824-b0c4b7cf65ef,"{""metric"":{""cuantity"":180,""units"":""g""},""imperial"":{""cuantity"":null,""units"":null},""legacyName"":""Hielo""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05390836-060c-4570-a947-4b75e86d199d,"{""metric"":{""cuantity"":30,""units"":""ml""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guandolo clásico,
130fffe0-a93c-406a-b13a-01f5942383ca,46095652-70b7-4f61-862b-a48b94ae89f3,"{""porcion"":""1"",""cantidad"":""210"",""unidades"":""ml""}","{""vIB"":4784,""pIB"":0.53,""vCMP"":2576,""pCMPInicial"":0.35,""pCMPReal"":0.32,""PPVii"":7949}",,Autor por defecto,Revisor por defecto,,,,,,,,,,,2025-01-16,,,,,,,,,,,,,,,,,,,,,80b4dbbf-281d-4c78-a54b-b520055c4eb0,"{""metric"":{""cuantity"":""400"",""units"":""NaN""}}",503f05fa-fc9b-4618-9824-b0c4b7cf65ef,"{""metric"":{""cuantity"":""50"",""units"":""gr""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jugo de Naranja,
1b50551d-4cdd-4f59-afcb-4e2644742a9c,81f0ece1-869a-4daa-8048-68876f8c7a56,"{""porcion"":1,""cantidad"":1,""unidades"":""pax""}","{""vIB"":9085,""pIB"":0.53,""vCMP"":4892,""pCMPInicial"":0.35,""pCMPReal"":0.32,""PPVii"":15096}","[{""orden"":0,""proceso"":""Servir los huevos pericos con la arepa al lado.""},{""orden"":1,""proceso"":""Decorar con mizuna morada encima de los huevos.""}]",Alejandro,Melisa,Asegúrate de que la mezcla de huevos y queso crema esté suave y no seca.,El hogao debe estar bien caramelizado para un mejor sabor.,,,,,,,,,2025-01-16,Precalentar la sartén y agregar la mantequilla.,Añadir el hogao (cebolla y tomate picados) y caramelizar en la sartén.,Agregar los huevos y revolver vigorosamente hasta que se integren bien con el hogao.,"Agregar el queso crema y la leche, revolviendo continuamente hasta que los huevos estén cremosos.","Cocinar los huevos a fuego medio, haciendo movimientos envolventes para obtener una textura suave.",Preparar la arepa en la parrilla de la estufa hasta que esté dorada.,,,,,,,,,,,,,,,c31a9142-dea7-4422-b687-7dcc1e463b43,"{""metric"":{""cuantity"":""1"",""units"":""un""}}",e885259a-746a-41b0-8354-5b72f9a837b5,"{""metric"":{""cuantity"":""2"",""units"":""un""}}",,,1d70ef99-118d-4e6b-86f6-d11ca096be9d,"{""metric"":{""cuantity"":""25"",""units"":""gr""}}",746d4f86-bde8-46a7-a582-e6dc4d4b38e4,"{""metric"":{""cuantity"":""20"",""units"":""gr""}}",d57df22f-13ef-4724-bc85-3fe68caca757,"{""metric"":{""cuantity"":""2"",""units"":""NaN""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c090a7ed-c177-4906-901f-1de7a7a89ed6,"{""metric"":{""cuantity"":""50"",""units"":""NaN""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Huevos revueltos pericos,
